feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,Fold_10_importance,Fold_11_importance,Fold_12_importance,Fold_13_importance,Fold_14_importance,mean_importance,std_importance,variance,cv
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021310977,0.0,0.0,0.01341851,0.0,0.0,0.0,0.0010366405133333334,0.0034690327461987087,1.2034188194198954e-05,3.3464182632067705
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006811292,0.0,0.0,0.0,0.0,0.0,0.0,0.00045408613333333334,0.0017586680321437205,3.0929132472842663e-06,3.8729833462074166
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049405163,0.0,0.0,0.0,0.0,0.0003293677533333334,0.0012756358234377527,1.6272467540377133e-06,3.872983346207417
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.0,0.0,0.0,0.0019561325,0.004365511,0.0,0.09832692,0.0,0.0040809303,0.0,0.0,0.016541135,0.0014880894,0.0,0.03608689,0.010856373879999999,0.026073927466143614,0.0006798496935097184,2.4017160567929534
log-sigma-1-0-mm-3D_ngtdm_Busyness_lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-2-0-mm-3D_firstorder_Entropy,0.0,0.0,0.0012091448,0.0,0.0,0.0,0.0,0.0,0.0007765892,0.0,0.0,0.0,0.0,0.0,0.0,0.00013238226666666665,0.00035879221653114146,1.287318546433295e-07,2.710274008486093
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.0,0.0,0.0,0.0,0.0041032108,0.0,0.0010364255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005669103,0.00072058262,0.001737417127051469,3.01861827337178e-06,2.411128271524879
log-sigma-2-0-mm-3D_firstorder_Minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.0,0.0,0.035060607,0.0,0.0016768188,0.0014596836,0.0010604456,0.0020334146,0.00044608125,0.0005689313,0.0,0.0,0.0,0.0,0.00020118714,0.002833811286,0.008942489793978568,7.996812371541086e-05,3.1556405460580725
